half-seas-over.s.01,British informal for `intoxicated'
impala.n.01,African antelope with ridged curved horns; moves with enormous leaps
thomson's_gazelle.n.01,East African gazelle; the smallest gazelle
tragelaphus.n.01,African antelopes: kudus; bongos; nyalas; bushbucks
boselaphus.n.01,Indian antelopes: nilgais
genus_saiga.n.01,Eurasian antelopes: saigas
raphicerus.n.01,African antelopes: steenboks
taurotragus.n.01,African antelopes: elands
kobus.n.01,African antelopes: waterbucks
adenota.n.01,African antelopes: puku
genus_oryx.n.01,African antelopes: oryxes
odocoileus.n.01,North American deer
caribou.n.01,Arctic deer with large antlers in both sexes; called `reindeer' in Eurasia and `caribou' in North America
skunk.n.04,American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae
stone_marten.n.01,Eurasian marten having a brown coat with pale breast and throat
apar.n.01,South American armadillo with three bands of bony plates
peludo.n.01,Argentine armadillo with six movable bands and hairy underparts
myrmecophagidae.n.01,New World anteaters
cercopithecidae.n.01,Old World monkeys: guenon; baboon; colobus monkey; langur; macaque; mandrill; mangabey; patas; proboscis monkey
vervet.n.01,South African monkey with black face and hands
bonnet_macaque.n.01,Indian macaque with a bonnet-like tuft of hair
proboscis_monkey.n.01,Borneo monkey having a long bulbous nose
platyrrhini.n.01,New World monkeys: capuchin; douroucouli; howler monkey; saki; spider monkey; squirrel monkey; titi; uakari; woolly monkey; marmoset; tamarin
pinche.n.01,South American tamarin with a tufted head
lemuroidea.n.01,Lemuridae; Lorisidae; Daubentoniidae; Indriidae; used in some classifications instead of Prosimii; in others considered a subdivision of Prosimii
indian_elephant.n.01,Asian elephant having smaller ears and tusks primarily in the male
common_raccoon.n.01,North American raccoon
siluridae.n.01,Old World catfishes
silurid.n.01,Old World freshwater catfishes having naked skin and a long anal fin more or less merged with the eellike caudal fin
ameiuridae.n.01,North American catfishes
armored_catfish.n.01,South American catfish having the body covered with bony plates
ling.n.04,American hakes
tuna.n.04,New Zealand eel
allice_shad.n.01,European shad
landlocked_salmon.n.01,Atlantic salmon confined to lakes of New England and southeastern Canada
oncorhynchus.n.01,Pacific salmon including sockeye salmon; chinook salmon; chum salmon; coho salmon
brook_trout.n.02,North American freshwater trout; introduced in Europe
yellow_perch.n.01,North American perch
freshwater_bass.n.02,North American food and game fish
micropterus.n.01,American freshwater black basses
yellow_bass.n.01,North American freshwater bass resembling the larger marine striped bass
rainbow_seaperch.n.01,Pacific coast fish
chrysophrys.n.01,Australian snapper
snapper.n.04,Australian food fish having a pinkish body with blue spots
shanny.n.01,European scaleless blenny
scomberomorus.n.01,Spanish mackerels
striped_marlin.n.01,Pacific food and game fish marked with dark blue vertical stripes
sea_robin.n.01,American gurnard; mostly found in bays and estuaries
yellowtail_flounder.n.02,American flounder having a yellowish tail
lemon_sole.n.05,European flatfish highly valued as food
brill.n.01,European food fish
b-52.n.01,United States military aircraft; B- stands for bomber
boot.n.02,British term for the luggage compartment in a car
chokey.n.01,British slang (dated) for a prison
dacha.n.01,Russian country house
horseshoe.n.02,U-shaped plate nailed to underside of horse's hoof
hysterosalpingogram.n.01,X ray of the uterus and Fallopian tubes; usually done in diagnosing infertility (to see if there any blockages)
intravenous_pyelogram.n.01,X-ray picture of the kidneys and ureters after injection of a radiopaque dye
koto.n.01,Japanese stringed instrument that resembles a zither; has a rectangular wooden sounding board and usually 13 silk strings that are plucked with the fingers
mammogram.n.01,X-ray film of the soft tissue of the breast
myelogram.n.01,X-ray film of the spinal cord and spinal nerve roots and subarachnoid space
siegfried_line.n.01,German fortifications facing the Maginot Line
skylab.n.01,United States space station; in orbit from 1973 to 1979
squeegee.n.01,T-shaped cleaning implement with a rubber edge across the top; drawn across a surface to remove water (as in washing windows)
tomograph.n.01,X-ray machine in which a computer builds a detailed image of a particular plane through an object from multiple X-ray measurements
helper_t_cell.n.01,T cell with CD4 receptor that recognizes antigens on the surface of a virus-infected cell and secretes lymphokines that stimulate B cells and killer T cells; helper T cells are infected and killed by the AIDS virus
killer_t_cell.n.01,T cell with CD8 receptor that recognizes antigens on the surface of a virus-infected cell and binds to the infected cell and kill it
sufism.n.01,Islamic mysticism
comtism.n.01,Auguste Comte's positivistic philosophy that metaphysics and theology should be replaced by a hierarchy of sciences from mathematics at the base to sociology at the top
malthusianism.n.01,Malthus' theory that population increase would outpace increases in the means of subsistence
seventh-day_adventism.n.01,Adventism that is strongly Protestant and observes Saturday as the Sabbath
unitarianism.n.01,Christian doctrine that stresses individual freedom of belief and rejects the Trinity
trinitarianism.n.01,Christian doctrine stressing belief in the Trinity
yoga.n.01,Hindu discipline aimed at training the consciousness for a state of perfect spiritual insight and tranquility that is achieved through the three paths of actions and knowledge and devotion
fleet_street.n.02,British journalism
roundel.n.01,English form of rondeau having three triplets with a refrain after the first and third
chanson_de_geste.n.01,Old French epic poems
haggadah.n.01,Talmudic literature that does not deal with law but is still part of Jewish tradition
halakah.n.01,Talmudic literature that deals with law and with the interpretation of the laws on the Hebrew Scriptures
sanskrit_literature.n.01,Hindu literature written in Sanskrit
vedanga.n.01,Vedic texts from the fifth and fourth centuries BC dealing with phonetics and ritual injunctions and linguistics and grammar and etymology and lexicography and prosody and astronomy and astrology
truman_doctrine.n.01,President Truman's policy of providing economic and military aid to any country threatened by communism or totalitarian ideology
wig.n.02,British slang for a scolding
parkinson's_law.n.02,C. Northcote Parkinson's cynical observation that the number of subordinates in an organization will increase linearly regardless of the amount of work to be done
parkinson's_law.n.01,C. Northcote Parkinson's cynical observation that work will expand so as to fill the time available for its completion
control_character.n.01,ASCII characters to indicate carriage return or tab or backspace; typed by depressing a key and the control key at the same time
latino_sine_flexione.n.01,Latino without inflectional morphology
kachin.n.01,Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India
kuki.n.01,Kamarupan languages spoken in western Burma and Bangladesh and easternmost India
naga.n.01,Kamarupan languages spoken in northeastern India and western Burma
mikir-meithei.n.01,Kamarupan languages spoken in the states of Manipur and Assam in northeastern India
bodo-garo.n.01,Kamarupan languages spoken in the state of Assam in northeastern India
tibetan.n.01,Himalayish language spoken in Tibet
newari.n.01,Himalayish language spoken in the Kathmandu valley of Nepal
king's_english.n.01,English as spoken by educated persons in southern England
middle_english.n.01,English from about 1100 to 1450
modern_english.n.01,English since about 1450
old_english.n.01,English prior to about 1100
old_high_german.n.01,High German prior to 1200
middle_high_german.n.01,High German from 1100 to 1500
old_saxon.n.01,Low German prior to 1200
middle_low_german.n.01,Low German from 1100 to 1500
old_irish.n.01,Irish Gaelic up to about 1100
middle_irish.n.01,Irish Gaelic from 1100 to 1500
medieval_latin.n.01,Latin used for liturgical purposes during the Middle Ages
neo-latin.n.01,Latin since the Renaissance; used for scientific nomenclature
rhaeto-romance.n.01,Romance dialects spoken in parts of southeastern Switzerland and northern Italy and the Tyrol
modern_hebrew.n.01,Hebrew used in Israel today; revived from ancient Hebrew
commedia_dell'arte.n.01,Italian comedy of the 16th to 18th centuries improvised from standardized situations and stock characters
chevron.n.01,V-shaped sleeve badge indicating military rank and service
olla_podrida.n.01,Spanish version of burgoo
mulligan_stew.n.01,Irish version of burgoo
blini.n.01,Russian pancake of buckwheat flour and yeast; usually served with caviar and sour cream
prosciutto.n.01,Italian salt-cured ham usually sliced paper thin
garlic_bread.n.01,French or Italian bread sliced and spread with garlic butter then crisped in the oven
goa_bean.n.02,Old World tropical bean
frijole.n.02,Mexican bean; usually dried
lanseh.n.01,East Indian tart yellow berrylike fruit
anchovy_pear.n.02,West Indian fruit resembling the mango; often pickled
capulin.n.02,Mexican black cherry
kai_apple.n.01,South African fruit smelling and tasting like apricots; used for pickles and preserves
litchi.n.02,Chinese fruit having a thin brittle shell enclosing a sweet jellylike pulp and a single seed; often dried
longanberry.n.02,Asian fruit similar to litchi
sour_gourd.n.02,African gourd-like fruit with edible pulp
black_walnut.n.02,American walnut having a very hard and thick woody shell
quahaug.n.01,Atlantic coast round clams with hard shells; large clams usually used for chowders or other clam dishes
blue_crab.n.01,Atlantic crab; most common source of fresh crabmeat
redfish.n.01,North Atlantic rockfish
five_spice_powder.n.01,Chinese seasoning made by grinding star anise and fennel and pepper and cloves and cinnamon
stilton.n.01,English blue cheese
roquefort.n.01,French blue cheese
gorgonzola.n.01,Italian blue cheese
emmenthal.n.01,Swiss cheese with large holes
gruyere.n.01,Swiss cheese with small holes
frittata.n.01,Italian omelet with diced vegetables and meats; cooked until bottom is set then inverted into another pan to cook the top
