half-seas-over.s.01,British informal for `intoxicated'
gogol.n.01,Russian writer who introduced realism to Russian literature (1809-1852)
goldberg.n.01,United States cartoonist who drew intricate diagrams of very complicated and impractical contraptions that accomplished little or nothing (1883-1970)
golding.n.01,English novelist (1911-1993)
goldman.n.01,United States anarchist (born in Russia) who opposed conscription; was deported to the Soviet Union in 1919 (1869-1940)
goldmark.n.01,United States inventor (born in Hungary) who made the first TV broadcast in 1940 and invented the long-playing record in 1948 and pioneered videocassette recording (1906-1977)
goldsmith.n.02,Irish writer of novels and poetry and plays and essays (1728-1774)
goldwyn.n.01,United States film maker (born in Poland) who founded his own film company and later merged with Louis B. Mayer (1882-1974)
golgi.n.01,Italian histologist noted for work on the structure of the nervous system and for his discovery of Golgi bodies (1844-1926)
gombrowicz.n.01,Polish author (1904-1969)
gompers.n.01,United States labor leader (born in England) who was president of the American Federation of Labor from 1886 to 1924 (1850-1924)
goncourt.n.02,French writer who collaborated with his brother Jules de Goncourt on many books and who in his will established the Prix Goncourt (1822-1896)
goncourt.n.01,French writer who collaborated with his brother Edmond de Goncourt on many books (1830-1870)
gonne.n.01,Irish patriot and a founder of the Sinn Fein (1865-1953)
goodall.n.01,English zoologist noted for her studies of chimpanzees in the wild (born in 1934)
goodman.n.01,United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986)
goodyear.n.01,United States inventor of vulcanized rubber (1800-1860)
gorbachev.n.01,Soviet statesman whose foreign policy brought an end to the Cold War and whose domestic policy introduced major reforms (born in 1931)
gordimer.n.01,South African novelist and short-story writer whose work describes the effects of apartheid (born in 1923)
gore.n.01,Vice President of the United States under Bill Clinton (born in 1948)
gorgas.n.01,United States Army surgeon who suppressed yellow fever in Havana and in the Panama Canal Zone (1854-1920)
goring.n.01,German politician in Nazi Germany who founded the Gestapo and mobilized Germany for war (1893-1946)
gorky.n.01,Russian writer of plays and novels and short stories; noted for his depiction of social outcasts
goudy.n.01,United States printer noted for designing typefaces (1865-1947)
gould.n.02,United States financier who gained control of the Erie Canal and who caused a financial panic in 1869 when he attempted to corner the gold market (1836-1892)
gould.n.01,United States paleontologist and popularizer of science (1941-2002)
gounod.n.01,French composer best remembered for his operas (1818-1893)
goya.n.01,Spanish painter well known for his portraits and for his satires (1746-1828)
graf.n.01,German tennis player who won seven women's singles titles at Wimbledon (born in 1969)
graham.n.02,United States dancer and choreographer whose work was noted for its austerity and technical rigor (1893-1991)
graham.n.01,United States evangelical preacher famous as a mass evangelist (born in 1918)
grahame.n.01,English writer (born in Scotland) of children's stories (1859-1932)
grainger.n.01,United States composer (born in Australia) who lived in London and collected English folk songs (1882-1961)
gram.n.02,Danish physician and bacteriologist who developed a method of staining bacteria to distinguish among them (1853-1938)
grant.n.05,United States actor (born in England) who was the elegant leading man in many films (1904-1986)
grant.n.04,Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)
granville-barker.n.01,English actor and dramatist and critic and director noted for his productions of Shakespearean plays (1877-1946)
grappelli.n.01,French jazz violinist (1908-1997)
grass.n.02,German writer of novels and poetry and plays (born 1927)
graves.n.01,English writer known for his interest in mythology and in the classics (1895-1985)
gray.n.09,United States botanist who specialized in North American flora and who was an early supporter of Darwin's theories of evolution (1810-1888)
gray.n.08,American navigator who twice circumnavigated the globe and who discovered the Columbia River (1755-1806)
gray.n.07,English poet best known for his elegy written in a country churchyard (1716-1771)
gray.n.06,English radiobiologist in whose honor the gray (the SI unit of energy for the absorbed dose of radiation) was named (1905-1965)
greeley.n.01,United States journalist with political ambitions (1811-1872)
green.n.03,United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
greenberg.n.01,"United States linguist who studied the historical relations among 5,000 languages (1916-2001)"
greene.n.01,English novelist and Catholic (1904-1991)
gregory.n.02,Italian pope from 1831 to 1846; conservative in politics and theology; worked to propagate Catholicism in England and the United States (1765-1846)
gresham.n.01,English financier (1519-1579)
grey.n.03,Englishman who as Prime Minister implemented social reforms including the abolition of slavery throughout the British Empire (1764-1845)
grey.n.02,Queen of England for nine days in 1553; she was quickly replaced by Mary Tudor and beheaded for treason (1537-1554)
grey.n.01,United States writer of western adventure novels (1875-1939)
grieg.n.01,Norwegian composer whose work was often inspired by Norwegian folk music (1843-1907)
griffith.n.01,United States film maker who was the first to use flashbacks and fade-outs (1875-1948)
gris.n.01,Spanish cubist painter (1887-1927)
gromyko.n.01,Soviet ambassador to the United States and to the United Nations (1909-1989)
gropius.n.01,United States architect (born in Germany) and founder of the Bauhaus school (1883-1969)
grotius.n.01,Dutch jurist and diplomat whose writings established the basis of modern international law (1583-1645)
groves.n.01,United States general who served as military director of the atomic bomb project (1896-1970)
guarneri.n.01,Italian violin maker and grandson of Andrea Guarneri (1687?-1745)
guest.n.02,United States journalist (born in England) noted for his syndicated homey verse (1881-1959)
guggenheim.n.02,United States industrialist (born in Switzerland) who with his sons established vast mining and metal processing companies (1828-1905)
guggenheim.n.01,United States philanthropist; son of Meyer Guggenheim who created several foundations to support the arts (1861-1949)
guinness.n.01,English stage and screen actor noted for versatility (1914-2000)
gutenberg.n.01,German printer who was the first in Europe to print using movable type and the first to use a press (1400-1468)
guthrie.n.01,United States folk singer and songwriter (1912-1967)
gwynn.n.01,English comedienne and mistress of Charles II (1650-1687)
haber.n.01,German chemist noted for the synthetic production of ammonia from the nitrogen in air (1868-1934)
hadrian.n.01,Roman Emperor who was the adoptive son of Trajan; travelled throughout his empire to strengthen its frontiers and encourage learning and architecture; on a visit to Britain in 122 he ordered the construction of Hadrian's Wall (76-138)
haeckel.n.01,German biologist and philosopher; advocated Darwinism and formulated the theory of recapitulation; was an exponent of materialistic monism (1834-1919)
haggard.n.01,British writer noted for romantic adventure novels (1856-1925)
hahn.n.01,German chemist who was co-discoverer with Lise Meitner of nuclear fission (1879-1968)
haldane.n.04,Scottish statesman and brother of Elizabeth and John Haldane (1856-1928)
haldane.n.03,Scottish writer and sister of Richard Haldane and John Haldane (1862-1937)
haldane.n.02,Scottish physiologist and brother of Richard Haldane and Elizabeth Haldane; noted for research into industrial diseases (1860-1936)
