Root,Root_Definition,Synset,Synset_Definition,Language,Form,Database
elkos-,abscess,boil,come to the boiling point and change from a liquid to vapor,English,v,Wordnet
"gʰendʰ-, gʰ<sub>o</sub>ndʰ-",abscess,boil,a painful sore with a hard core filled with pus,English,n,Wordnet
"gʰendʰ-, gʰ<sub>o</sub>ndʰ-",abscess,abscess,symptom consisting of a localized collection of pus surrounded by inflamed tissue,English,n,Wordnet
"gʰendʰ-, gʰ<sub>o</sub>ndʰ-",abscess,boil,"immerse or be immersed in a boiling liquid, often for cooking purposes",English,v,Wordnet
"gʰendʰ-, gʰ<sub>o</sub>ndʰ-",abscess,boil,"bring to, or maintain at, the boiling point",English,v,Wordnet
"gʰendʰ-, gʰ<sub>o</sub>ndʰ-",abscess,boil,come to the boiling point and change from a liquid to vapor,English,v,Wordnet
kā̆u(ə)lā : kūlā,swelling,boil,a painful sore with a hard core filled with pus,English,n,Wordnet
kā̆u(ə)lā : kūlā,swelling,abscess,symptom consisting of a localized collection of pus surrounded by inflamed tissue,English,n,Wordnet
kā̆u(ə)lā : kūlā,swelling,swelling,an abnormal protuberance or localized enlargement,English,n,Wordnet
kā̆u(ə)lā : kūlā,swelling,boil,"immerse or be immersed in a boiling liquid, often for cooking purposes",English,v,Wordnet
kā̆u(ə)lā : kūlā,swelling,boil,"bring to, or maintain at, the boiling point",English,v,Wordnet
kā̆u(ə)lā : kūlā,swelling,boil,come to the boiling point and change from a liquid to vapor,English,v,Wordnet
"4. seu-, seu-t-",to seethe,boil,a painful sore with a hard core filled with pus,English,n,Wordnet
"4. seu-, seu-t-",to seethe,boil,"immerse or be immersed in a boiling liquid, often for cooking purposes",English,v,Wordnet
"4. seu-, seu-t-",to seethe,boil,"bring to, or maintain at, the boiling point",English,v,Wordnet
"4. seu-, seu-t-",to seethe,boil,come to the boiling point and change from a liquid to vapor,English,v,Wordnet
"engʷ-, n̥gʷḗn",swelling,bump,a lump on the body caused by a blow,English,n,Wordnet
"engʷ-, n̥gʷḗn",swelling,swelling,an abnormal protuberance or localized enlargement,English,n,Wordnet
"engʷ-, n̥gʷḗn",swelling,bump,knock against with force or violence,English,v,Wordnet
"engʷ-, n̥gʷḗn",swelling,bump,dance erotically or dance with the pelvis thrust forward,English,v,Wordnet
*(s)tei̯g-{1},sting,sting,a painful wound caused by the thrust of an insect's stinger into skin,English,n,Wordnet
*(s)tei̯g-{1},sting,sting,a kind of pain; something as sudden and painful as being stung,English,n,Wordnet
*(s)tei̯g-{1},sting,sting,deliver a sting to,English,v,Wordnet
*(s)tei̯g-{1},sting,sting,"cause an emotional pain, as if by stinging",English,v,Wordnet
1.*gʷelH-{1},torment,sting,a painful wound caused by the thrust of an insect's stinger into skin,English,n,Wordnet
1.*gʷelH-{1},torment,sting,a kind of pain; something as sudden and painful as being stung,English,n,Wordnet
1.*gʷelH-{1},torment,sting,deliver a sting to,English,v,Wordnet
1.*gʷelH-{1},torment,sting,"cause an emotional pain, as if by stinging",English,v,Wordnet
1.*gʷelH-{1},torment,torment,torment emotionally or mentally,English,v,Wordnet
1.*gʷelH-{1},torment,torment,treat cruelly,English,v,Wordnet
*pster-{1},sneeze,sneeze,a symptom consisting of the involuntary expulsion of air from the nose,English,n,Wordnet
*pster-{1},sneeze,sneeze,"exhale spasmodically, as when an irritant entered one's nose",English,v,Wordnet
gu̯et-,swelling,swelling,an abnormal protuberance or localized enlargement,English,n,Wordnet
*kʷeh₂s-{1},cough,cough,a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis,English,n,Wordnet
*kʷeh₂s-{1},cough,cough,"exhale abruptly, as when one has a chest cold or congestion",English,v,Wordnet
1. reǵ-,to regulate,reign,royal authority; the dominion of a monarch,English,n,Wordnet
1. reǵ-,to regulate,reign,the period during which a monarch is sovereign,English,n,Wordnet
1. reǵ-,to regulate,reign,a period during which something or somebody is dominant or powerful,English,n,Wordnet
1. reǵ-,to regulate,reign,have sovereign power,English,v,Wordnet
?*sterh₁-{1},lack,lack,the state of needing something that is absent or unavailable,English,n,Wordnet
(s)p(ʰ)eu-d-,to press,hurry,a condition of urgency making it necessary to hurry,English,n,Wordnet
"ǵʰal-, ǵʰal-ar-",defect; harm,flaw,an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness,English,n,Wordnet
"ǵʰal-, ǵʰal-ar-",defect; harm,flaw,defect or weakness in a person's character,English,n,Wordnet
"ǵʰal-, ǵʰal-ar-",defect; harm,flaw,add a flaw or blemish to; make imperfect or defective,English,v,Wordnet
"āmer-, āmōr, āmr̥",day,day,a period of opportunity,English,n,Wordnet
"āmer-, āmōr, āmr̥",day,day,some point or period in time,English,n,Wordnet
"āmer-, āmōr, āmr̥",day,day,the recurring hours when you are not sleeping (especially those when you are working),English,n,Wordnet
"āmer-, āmōr, āmr̥",day,day,time for Earth to make a complete rotation on its axis,English,n,Wordnet
"āmer-, āmōr, āmr̥",day,day,a day assigned to a particular purpose or observance,English,n,Wordnet
"āmer-, āmōr, āmr̥",day,day,the time after sunrise and before sunset while it is light outside,English,n,Wordnet
"āmer-, āmōr, āmr̥",day,day,the period of time taken by a particular planet (e.g. Mars) to make a complete rotation on its axis,English,n,Wordnet
"āmer-, āmōr, āmr̥",day,day,an era of existence or influence,English,n,Wordnet
2.*bʰeh₂-{1},say,say,the chance to speak,English,n,Wordnet
2.*bʰeh₂-{1},say,say,communicate or express nonverbally,English,v,Wordnet
2.*bʰeh₂-{1},say,say,recite or repeat a fixed text,English,v,Wordnet
2.*bʰeh₂-{1},say,speak,use language,English,v,Wordnet
2.*bʰeh₂-{1},say,say,utter aloud,English,v,Wordnet
2.*bʰeh₂-{1},say,say,state as one's opinion or judgement; declare,English,v,Wordnet
2.*bʰeh₂-{1},say,speak,make a characteristic or natural sound,English,v,Wordnet
2. sekʷ-,notice; show,say,the chance to speak,English,n,Wordnet
2. sekʷ-,notice; show,say,communicate or express nonverbally,English,v,Wordnet
2. sekʷ-,notice; show,say,recite or repeat a fixed text,English,v,Wordnet
2. sekʷ-,notice; show,speak,use language,English,v,Wordnet
2. sekʷ-,notice; show,say,utter aloud,English,v,Wordnet
2. sekʷ-,notice; show,say,state as one's opinion or judgement; declare,English,v,Wordnet
2. sekʷ-,notice; show,speak,make a characteristic or natural sound,English,v,Wordnet
1. lendʰ-,spring (of water),wetness,the condition of containing or being covered by a liquid (especially water),English,n,Wordnet
ǵeis-,gravel,gravel,rock fragments and pebbles,English,n,Wordnet
ǵeis-,gravel,gravel,cover with gravel,English,v,Wordnet
ḱorkā,grit,gravel,rock fragments and pebbles,English,n,Wordnet
ḱorkā,grit,grit,a hard coarse-grained siliceous sandstone,English,n,Wordnet
ḱorkā,grit,grit,clench together,English,v,Wordnet
ḱorkā,grit,grit,cover with a grit,English,v,Wordnet
ḱorkā,grit,gravel,cover with gravel,English,v,Wordnet
kol(ē̆)i̯-,glue,glue,cement consisting of a sticky substance that is used as an adhesive,English,n,Wordnet
kol(ē̆)i̯-,glue,glue,be fixed as if by glue,English,v,Wordnet
kol(ē̆)i̯-,glue,glue,join or attach with or as if with glue,English,v,Wordnet
letro-,leather,leather,an animal skin made smooth and flexible by removing the hair and then tanning,English,n,Wordnet
letro-,leather,leather,whip with a leather strap,English,v,Wordnet
"ong-, better ang-",coal,coal,fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period,English,n,Wordnet
"ong-, better ang-",coal,coal,take in coal,English,v,Wordnet
"ong-, better ang-",coal,coal,supply with coal,English,v,Wordnet
"2. pēs-, nasalized pēns-",sand,dust,fine powdery material such as dry earth or pollen that can be blown about in the air,English,n,Wordnet
"2. pēs-, nasalized pēns-",sand,dust,free microscopic particles of solid material,English,n,Wordnet
"2. pēs-, nasalized pēns-",sand,sand,a loose material consisting of grains of rock or coral,English,n,Wordnet
"2. pēs-, nasalized pēns-",sand,dust,remove the dust from,English,v,Wordnet
"2. pēs-, nasalized pēns-",sand,dust,rub the dust over a surface so as to blur the outlines of a shape,English,v,Wordnet
"2. pēs-, nasalized pēns-",sand,dust,cover with a light dusting of a substance,English,v,Wordnet
1. gʷet-,resin,resin,any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules,English,n,Wordnet
kār-,wax,wax,any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water,English,n,Wordnet
kār-,wax,wax,go up or advance,English,v,Wordnet
kār-,wax,wax,increase in phase,English,v,Wordnet
kār-,wax,wax,cover with wax,English,v,Wordnet
u̯okso-,wax,wax,any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water,English,n,Wordnet
u̯okso-,wax,wax,go up or advance,English,v,Wordnet
u̯okso-,wax,wax,increase in phase,English,v,Wordnet
u̯okso-,wax,wax,cover with wax,English,v,Wordnet
"es-en-, os-en-",harvest time,summer,"the period of finest development, happiness, or beauty",English,n,Wordnet
"es-en-, os-en-",harvest time,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,English,n,Wordnet
"es-en-, os-en-",harvest time,summer,spend the summer,English,v,Wordnet
3. sem-,summer,summer,"the period of finest development, happiness, or beauty",English,n,Wordnet
3. sem-,summer,summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,English,n,Wordnet
3. sem-,summer,summer,spend the summer,English,v,Wordnet
"nekʷ-(t-), nokʷ-t-s",night,night,the dark part of the diurnal cycle considered a time unit,English,n,Wordnet
"nekʷ-(t-), nokʷ-t-s",night,night,the time after sunset and before sunrise while it is dark outside,English,n,Wordnet
"nekʷ-(t-), nokʷ-t-s",night,night,the time between sunset and midnight,English,n,Wordnet
"nekʷ-(t-), nokʷ-t-s",night,night,the period spent sleeping,English,n,Wordnet
"nekʷ-(t-), nokʷ-t-s",night,night,a period of ignorance or backwardness or gloom,English,n,Wordnet
"nekʷ-(t-), nokʷ-t-s",night,night,a shortening of nightfall,English,n,Wordnet
"ā̆ier-, ā̆ien-",day(light),morning,the time period between dawn and noon,English,n,Wordnet
2. en-,year,year,"the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun",English,n,Wordnet
2. en-,year,year,a period of time containing 365 (or 366) days,English,n,Wordnet
2. en-,year,year,a period of time occupying a regular part of a calendar year that is used for some particular activity,English,n,Wordnet
u̯et-,year,year,"the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun",English,n,Wordnet
u̯et-,year,year,a period of time containing 365 (or 366) days,English,n,Wordnet
u̯et-,year,year,a period of time occupying a regular part of a calendar year that is used for some particular activity,English,n,Wordnet
at-,to go; year,annum,(Latin) year,English,n,Wordnet
*lei̯h₂-,dwindle,cease,(`cease' is a noun only in the phrase `without cease') end,English,n,Wordnet
*lei̯h₂-,dwindle,dwindle,become smaller or lose substance,English,v,Wordnet
*h₂enh₁-{1},breathe,breathe,"draw air into, and expel out of, the lungs",English,v,Wordnet
*h₂enh₁-{1},breathe,breathe,reach full flavor by absorbing air and being let to stand after having been uncorked,English,v,Wordnet
*h₂enh₁-{1},breathe,breathe,manifest or evince,English,v,Wordnet
*h₂enh₁-{1},breathe,breathe,utter or tell,English,v,Wordnet
*h₂enh₁-{1},breathe,breathe,impart as if by breathing,English,v,Wordnet
*h₂enh₁-{1},breathe,breathe,be alive,English,v,Wordnet
*h₂enh₁-{1},breathe,breathe,allow the passage of air through,English,v,Wordnet
2. bʰes-,to blow,breathe,"draw air into, and expel out of, the lungs",English,v,Wordnet
2. bʰes-,to blow,breathe,reach full flavor by absorbing air and being let to stand after having been uncorked,English,v,Wordnet
2. bʰes-,to blow,breathe,manifest or evince,English,v,Wordnet
2. bʰes-,to blow,breathe,utter or tell,English,v,Wordnet
2. bʰes-,to blow,breathe,impart as if by breathing,English,v,Wordnet
2. bʰes-,to blow,breathe,be alive,English,v,Wordnet
2. bʰes-,to blow,breathe,allow the passage of air through,English,v,Wordnet
pneu-,to pant,breathe,"draw air into, and expel out of, the lungs",English,v,Wordnet
pneu-,to pant,breathe,reach full flavor by absorbing air and being let to stand after having been uncorked,English,v,Wordnet
pneu-,to pant,breathe,manifest or evince,English,v,Wordnet
pneu-,to pant,breathe,utter or tell,English,v,Wordnet
pneu-,to pant,breathe,impart as if by breathing,English,v,Wordnet
pneu-,to pant,breathe,be alive,English,v,Wordnet
pneu-,to pant,breathe,allow the passage of air through,English,v,Wordnet
*dʰeu̯H-,quickly move back and forth,shake,move with or as if with a tremor,English,v,Wordnet
*dʰeu̯H-,quickly move back and forth,shake,undermine or cause to waver,English,v,Wordnet
*dʰeu̯H-,quickly move back and forth,shake,bring to a specified condition by or as if by shaking,English,v,Wordnet
*dʰeu̯H-,quickly move back and forth,shake,"shake (a body part) to communicate a greeting, feeling, or cognitive state",English,v,Wordnet
*dʰeu̯H-,quickly move back and forth,shake,move or cause to move back and forth,English,v,Wordnet
*dʰeu̯H-,quickly move back and forth,shake,get rid of,English,v,Wordnet
?*i̯eu̯t-{1},awaken,awaken,cause to become awake or conscious,English,v,Wordnet
?*i̯eu̯t-{1},awaken,perceive,become conscious of,English,v,Wordnet
?*i̯eu̯t-{1},awaken,awaken,make aware,English,v,Wordnet
?*i̯eu̯t-{1},awaken,perceive,to become aware of through the senses,English,v,Wordnet
"4. ger-, grēi-",to grow,awaken,cause to become awake or conscious,English,v,Wordnet
"4. ger-, grēi-",to grow,awaken,make aware,English,v,Wordnet
1.*peu̯H-,purify,cleanse,"clean one's body or parts thereof, as by washing",English,v,Wordnet
1.*peu̯H-,purify,purify,"remove impurities from, increase the concentration of, and separate through the process of distillation",English,v,Wordnet
1.*peu̯H-,purify,purify,make pure or free from sin or guilt,English,v,Wordnet
1.*peu̯H-,purify,purify,become clean or pure or free of guilt and sin,English,v,Wordnet
1.*peu̯H-,purify,cleanse,"purge of an ideology, bad thoughts, or sins",English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,take off weight,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,narrow or limit,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,cook until very little liquid is left,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,be the essential element,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,make smaller,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,make less complex,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,cut down on; make a reduction in,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,destress and thus weaken a sound when pronouncing it,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,reposition (a broken bone after surgery) back to its normal site,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,undergo meiosis,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,lower in grade or rank or force somebody into an undignified situation,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,simplify the form of a mathematical equation of expression by substituting one term for another,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,lessen and make more modest,English,v,Wordnet
*dʰebʰ-{1},reduce,reduce,bring to humbler or weaker state or condition,English,v,Wordnet
*h₂ens-{1},procreate,farrow,give birth,English,v,Wordnet
*tek̑-{1},procreate,farrow,give birth,English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,feel pain or be in pain,English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,undergo (as of injuries and illnesses),English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,feel unwell or uncomfortable,English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,get worse,English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,be set at a disadvantage,English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,experience (emotional) pain,English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,undergo or be subjected to,English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,undergo or suffer,English,v,Wordnet
?*h₁elk-{1},feel bad,suffer,be given to,English,v,Wordnet
2. su̯el-,swelter,swelter,suffer from intense heat,English,v,Wordnet
2. su̯el-,swelter,swelter,be uncomfortably hot,English,v,Wordnet
2. su̯el-,swelter,smolder,burn slowly and without a flame,English,v,Wordnet
2. su̯el-,swelter,smolder,have strong suppressed feelings,English,v,Wordnet
"dāu-, dəu-, dū̆-",to burn,injure,cause injuries or bodily harm to,English,v,Wordnet
"dāu-, dəu-, dū̆-",to burn,torment,torment emotionally or mentally,English,v,Wordnet
"dāu-, dəu-, dū̆-",to burn,torment,treat cruelly,English,v,Wordnet
"dʰebʰ-, dʰebʰ-eu-",to harm,injure,cause injuries or bodily harm to,English,v,Wordnet
gʷedʰ-,push; harm,injure,cause injuries or bodily harm to,English,v,Wordnet
reḱþʰ-,to harm,injure,cause injuries or bodily harm to,English,v,Wordnet
meiǵʰ-,to micturate,urinate,pass after the manner of urine,English,v,Wordnet
8. (s)ter-,stercory,dung,defecate; used of animals,English,v,Wordnet
8. (s)ter-,stercory,dung,fertilize or dress with dung,English,v,Wordnet
*h₁eu̯H-{1},promote,help,improve the condition of,English,v,Wordnet
*h₁eu̯H-{1},promote,help,improve; change for the better,English,v,Wordnet
*h₁eu̯H-{1},promote,promote,"change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent",English,v,Wordnet
*h₁eu̯H-{1},promote,promote,be changed for a superior chess or checker piece,English,v,Wordnet
*h₁eu̯H-{1},promote,promote,give a promotion to or assign to a higher position,English,v,Wordnet
*h₁eu̯H-{1},promote,help,give help or assistance; be of service,English,v,Wordnet
*h₁eu̯H-{1},promote,promote,contribute to the progress or growth of,English,v,Wordnet
*h₁eu̯H-{1},promote,help,contribute to the furtherance of,English,v,Wordnet
*h₁eu̯H-{1},promote,help,be of use,English,v,Wordnet
*h₂reh₁g/g̑-{1},be concerned about,help,improve the condition of,English,v,Wordnet
*h₂reh₁g/g̑-{1},be concerned about,help,improve; change for the better,English,v,Wordnet
*h₂reh₁g/g̑-{1},be concerned about,help,give help or assistance; be of service,English,v,Wordnet
*h₂reh₁g/g̑-{1},be concerned about,help,contribute to the furtherance of,English,v,Wordnet
*h₂reh₁g/g̑-{1},be concerned about,help,be of use,English,v,Wordnet
"7. au̯-, au̯ē-, au̯ēi-",to like,help,improve the condition of,English,v,Wordnet
"7. au̯-, au̯ē-, au̯ēi-",to like,help,improve; change for the better,English,v,Wordnet
"7. au̯-, au̯ē-, au̯ēi-",to like,help,give help or assistance; be of service,English,v,Wordnet
"7. au̯-, au̯ē-, au̯ēi-",to like,help,contribute to the furtherance of,English,v,Wordnet
"7. au̯-, au̯ē-, au̯ēi-",to like,help,be of use,English,v,Wordnet
?*bʰen-{1},get sick,sicken,get sick,English,v,Wordnet
*bʰu̯eh₂-{1},become,grow,come to have or undergo a change of (physical features and attributes),English,v,Wordnet
*bʰu̯eh₂-{1},become,become,enter or assume a certain state or condition,English,v,Wordnet
*bʰu̯eh₂-{1},become,grow,"become larger, greater, or bigger; expand or gain",English,v,Wordnet
*bʰu̯eh₂-{1},become,grow,increase in size by natural process,English,v,Wordnet
*bʰu̯eh₂-{1},become,grow,cause to grow or develop,English,v,Wordnet
*bʰu̯eh₂-{1},become,grow,become attached by or as if by the process of growth,English,v,Wordnet
*bʰu̯eh₂-{1},become,arise,result or issue,English,v,Wordnet
*bʰu̯eh₂-{1},become,grow,"cultivate by growing, often involving improvements by means of agricultural techniques",English,v,Wordnet
*bʰu̯eh₂-{1},become,arise,rise to one's feet,English,v,Wordnet
*bʰu̯eh₂-{1},become,become,come into existence,English,v,Wordnet
*bʰu̯eh₂-{1},become,arise,originate or come into being,English,v,Wordnet
*bʰu̯eh₂-{1},become,become,undergo a change or development,English,v,Wordnet
*bʰu̯eh₂-{1},become,become,enhance the appearance of,English,v,Wordnet
?*sesT-{1},thrive,grow,come to have or undergo a change of (physical features and attributes),English,v,Wordnet
?*sesT-{1},thrive,grow,"become larger, greater, or bigger; expand or gain",English,v,Wordnet
?*sesT-{1},thrive,grow,increase in size by natural process,English,v,Wordnet
?*sesT-{1},thrive,grow,cause to grow or develop,English,v,Wordnet
?*sesT-{1},thrive,grow,become attached by or as if by the process of growth,English,v,Wordnet
?*sesT-{1},thrive,grow,"cultivate by growing, often involving improvements by means of agricultural techniques",English,v,Wordnet
?*sesT-{1},thrive,thrive,make steady progress; be at the high point in one's career or reach a high point in historical significance or importance,English,v,Wordnet
kā̆d-,damage; chase,harm,cause or do harm to,English,v,Wordnet
1.*tek-,stretch out your hand,receive,convert into sounds or pictures,English,v,Wordnet
1.*tek-,stretch out your hand,receive,receive a specified treatment (abstract),English,v,Wordnet
1.*tek-,stretch out your hand,receive,regard favorably or with disapproval,English,v,Wordnet
1.*tek-,stretch out your hand,receive,accept as true or valid,English,v,Wordnet
1.*tek-,stretch out your hand,receive,partake of the Holy Eucharist sacrament,English,v,Wordnet
1.*tek-,stretch out your hand,receive,express willingness to have in one's home or environs,English,v,Wordnet
1.*tek-,stretch out your hand,receive,get something; come into possession of,English,v,Wordnet
1.*tek-,stretch out your hand,receive,have or give a reception,English,v,Wordnet
1.*tek-,stretch out your hand,come_to,attain,English,v,Wordnet
1. sekʷ-,to segue,follow,behave in accordance or in agreement with,English,v,Wordnet
1. sekʷ-,to segue,follow,grasp the meaning,English,v,Wordnet
1. sekʷ-,to segue,follow,travel along a certain course,English,v,Wordnet
1. sekʷ-,to segue,follow,"to travel behind, go after, come after",English,v,Wordnet
1. sekʷ-,to segue,follow,adhere to or practice,English,v,Wordnet
1. sekʷ-,to segue,follow,accept and follow the leadership or command or guidance of,English,v,Wordnet
1. sekʷ-,to segue,follow,come as a logical consequence; follow logically,English,v,Wordnet
1. sekʷ-,to segue,follow,"come after in time, as a result",English,v,Wordnet
1. sekʷ-,to segue,follow,be next,English,v,Wordnet
1. sekʷ-,to segue,follow,to bring something about at a later time than,English,v,Wordnet
*(s)kerb-{1},shrink,shrink,"decrease in size, range, or extent",English,v,Wordnet
*(s)kerb-{1},shrink,shrink,become smaller or draw together,English,v,Wordnet
*(s)kerb-{1},shrink,shrink,reduce in size; reduce physically,English,v,Wordnet
?*(s)krengʷ-,shrink,shrink,"decrease in size, range, or extent",English,v,Wordnet
?*(s)krengʷ-,shrink,shrink,become smaller or draw together,English,v,Wordnet
?*(s)krengʷ-,shrink,shrink,reduce in size; reduce physically,English,v,Wordnet
*rei̯g̑-{1},extend,extend,increase in quantity or bulk by adding a cheaper substance,English,v,Wordnet
*rei̯g̑-{1},extend,extend,prolong the time allowed for payment of,English,v,Wordnet
*rei̯g̑-{1},extend,extend,expand the influence of,English,v,Wordnet
*rei̯g̑-{1},extend,extend,open or straighten out; unbend,English,v,Wordnet
*rei̯g̑-{1},extend,extend,make available; provide,English,v,Wordnet
*rei̯g̑-{1},extend,extend,reach outward in space,English,v,Wordnet
*meu̯sH-,take away,deprive,take away,English,v,Wordnet
*meu̯sH-,take away,pull,take away,English,v,Wordnet
?*u̯reh₂-{1},take away,deprive,take away,English,v,Wordnet
?*u̯reh₂-{1},take away,pull,take away,English,v,Wordnet
*u̯lei̯kʷ-{1},moisten,moisten,make moist,English,v,Wordnet
"pā̆ḱ-, and pā̆ǵ-",to repair,strengthen,gain strength,English,v,Wordnet
"pā̆ḱ-, and pā̆ǵ-",to repair,strengthen,make strong or stronger,English,v,Wordnet
*gʷeh₂bʰ-{1},depress,depress,lessen the activity or force of,English,v,Wordnet
*gʷeh₂bʰ-{1},depress,depress,lower someone's spirits; make downhearted,English,v,Wordnet
*gʷeh₂bʰ-{1},depress,depress,lower (prices or markets),English,v,Wordnet
1.*demh₂-{1},(to) join,build,develop and grow,English,v,Wordnet
1.*demh₂-{1},(to) join,build,improve the cleansing action of,English,v,Wordnet
1.*demh₂-{1},(to) join,build,found or ground,English,v,Wordnet
1.*demh₂-{1},(to) join,build,build or establish something abstract,English,v,Wordnet
1.*demh₂-{1},(to) join,build,be engaged in building,English,v,Wordnet
1.*demh₂-{1},(to) join,build,"give form to, according to a plan",English,v,Wordnet
1.*demh₂-{1},(to) join,build,"order, supervise, or finance the construction of",English,v,Wordnet
2. al-,enhance,enhance,make better or more attractive,English,v,Wordnet
2. al-,enhance,nourish,provide with nourishment,English,v,Wordnet
?*gʰedʰ-{1},unite,unite,join or combine,English,v,Wordnet
?*gʰedʰ-{1},unite,unite,act in concert or unite in a common purpose or belief,English,v,Wordnet
?*gʰedʰ-{1},unite,unite,bring together for a common purpose or action or ideology or in a shared situation,English,v,Wordnet
?*gʰedʰ-{1},unite,unite,have or possess in combination,English,v,Wordnet
1.*pekʷ-,ripen,ripen,grow ripe,English,v,Wordnet
1.*pekʷ-,ripen,ripen,cause to ripen or develop fully,English,v,Wordnet
"6. mer-, mer-s-",to anger,disturb,damage as if by shaking or jarring,English,v,Wordnet
"6. mer-, mer-s-",to anger,disturb,move deeply,English,v,Wordnet
"6. mer-, mer-s-",to anger,bother,make confused or perplexed or puzzled,English,v,Wordnet
"6. mer-, mer-s-",to anger,bother,make nervous or agitated,English,v,Wordnet
"6. mer-, mer-s-",to anger,bother,intrude or enter uninvited,English,v,Wordnet
?*peu̯t-{1},inflate,inflate,fill with gas or air,English,v,Wordnet
?*peu̯t-{1},inflate,inflate,exaggerate or make bigger,English,v,Wordnet
?*peu̯t-{1},inflate,inflate,"increase the amount or availability of, creating a rise in value",English,v,Wordnet
?*peu̯t-{1},inflate,inflate,cause prices to rise by increasing the available currency or credit,English,v,Wordnet
?*su̯ei̯H-{1},dwindle,dwindle,become smaller or lose substance,English,v,Wordnet
su̯ī-,to fade,dwindle,become smaller or lose substance,English,v,Wordnet
"2. stel-, stelə-",to dilate,broaden,become broader,English,v,Wordnet
"2. stel-, stelə-",to dilate,broaden,make broader,English,v,Wordnet
bʰrugʰ-no-,twig,twig,branch out in a twiglike manner,English,v,Wordnet
*(s)kedh₂-,disperse,shatter,break into many pieces,English,v,Wordnet
*(s)kedh₂-,disperse,shatter,cause to break into many pieces,English,v,Wordnet
*(s)kedh₂-,disperse,shatter,damage or destroy,English,v,Wordnet
*(s)kedh₂-,disperse,disperse,separate (light) into spectral rays,English,v,Wordnet
*(s)kedh₂-,disperse,disperse,move away from each other,English,v,Wordnet
*(s)kedh₂-,disperse,disperse,to cause to separate and go in different directions,English,v,Wordnet
"(s)k(ʰ)ed-, (s)k(ʰ)e-n-d-",split to pieces,shatter,break into many pieces,English,v,Wordnet
"(s)k(ʰ)ed-, (s)k(ʰ)e-n-d-",split to pieces,shatter,cause to break into many pieces,English,v,Wordnet
"(s)k(ʰ)ed-, (s)k(ʰ)e-n-d-",split to pieces,shatter,damage or destroy,English,v,Wordnet
?*redʰ-{1},appear,arise,result or issue,English,v,Wordnet
?*redʰ-{1},appear,appear,come into sight or view,English,v,Wordnet
?*redʰ-{1},appear,appear,"come into being or existence, or appear on the scene",English,v,Wordnet
?*redʰ-{1},appear,appear,be issued or published,English,v,Wordnet
?*redʰ-{1},appear,appear,"appear as a character on stage or appear in a play, etc.",English,v,Wordnet
?*redʰ-{1},appear,arise,rise to one's feet,English,v,Wordnet
?*redʰ-{1},appear,appear,"seem to be true, probable, or apparent",English,v,Wordnet
?*redʰ-{1},appear,appear,"present oneself formally, as before a (judicial) authority",English,v,Wordnet
?*redʰ-{1},appear,arise,originate or come into being,English,v,Wordnet
1. op-,perform,operate,happen,English,v,Wordnet
1. op-,perform,operate,handle and cause to function,English,v,Wordnet
1. op-,perform,establish,bring about,English,v,Wordnet
1. op-,perform,perform,carry out or perform an action,English,v,Wordnet
1. op-,perform,perform,give a performance (of something),English,v,Wordnet
1. op-,perform,perform,perform a function,English,v,Wordnet
1. op-,perform,operate,"direct or control; projects, businesses, etc.",English,v,Wordnet
"seǵʰ-, seǵʰi-, seǵʰu-",to possess,persevere,"be persistent, refuse to stop",English,v,Wordnet
